Product Name,Price,Box Contents,Pack Size,Health Benefits,Storage Tip,Images
Indian Tomato,18,1 x Tomato (500g),500 g,"Rich in Vitamins A, C, K","Store in a cool, dry place",N/A
Hybrid Tomato,11,1 x Tomato (500g),500 gm,Rich in Antioxidants and Vitamins.,Keep in A Cool Place.,N/A
Lady's Finger (Bendekaayi),12,1 x Lady's Finger (1pack),250 g,"Loaded with Vitamins and Minerals, Promotes Digestion and Healthy Blood Sugar.",Store in A Paper Bag in The Refrigerator.,N/A
Onion (Eerulli),29,1 x Onion (1kg),1 kg,"Rich in Flavonoids, Supports Immunity and Heart Health","Store in A Cool, Dry Place",N/A
Potato (Aloo Gadde),33,1 x Potato (1kg),1 kg,"Vitamin C, Vitamin B6, and Potassium","Keep in A Cool, Dry Place",N/A
Green Capsicum (Donne Menasinakaayi),21,2 x Green Capsicum,2 Medium,Boosts Immunity,"Wrap in Plastic, Store in Crisper",N/A
Carrot,34,1 x Carrot,500 g,Rich in Vitamins and Fiber,"Keep in A Cool, Dry Place",N/A,Plastic Bag,Local Farms
Cauliflower (Hoo Kosu),24,1 x Cauliflower (1Piece),1 Medium,Rich in Vitamins and Fibers,Refrigerate To Maintain Freshness,N/A,Loose With Leaves,
Drumstick (Nuggekaayi),11,2 x Drumsticks,2 Pieces,Rich in Vitamins and Minerals,"Store in A Cool, Dry Place",N/A,,
N/A,N/A,,,,,N/A,,
Beetroot,19,1 x Beetroot (500g),500 g,"Boosts Immunity, Supports Heart Health","Store in A Cool, Dry Place",N/A,Plastic Pack,
N/A,N/A,,,,,N/A,,
"Onion, Potato & Hybrid Tomato",81,"1 x Onion, 1 x Potato, 1 x Tomato",1 Combo,,,N/A,,
N/A,N/A,,,,,N/A,,
Indian Tomato,18,1 x Tomato (500g),500 g,"Rich in Vitamins A, C, K","Store in a cool, dry place","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_600/054e83b5ebe789cf4b7b146319df4cfc"
Hybrid Tomato,11,1 x Tomato (500g),500 gm,Rich in Antioxidants and Vitamins.,Keep in A Cool Place.,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_600/4a50a7b9bb1791dc454235a8943fcb90"
Lady's Finger (Bendekaayi),12,1 x Lady's Finger (1pack),250 g,"Loaded with Vitamins and Minerals, Promotes Digestion and Healthy Blood Sugar.",Store in A Paper Bag in The Refrigerator.,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_600/576c7500d96e8d87fa5194ecc977a9ce"
Onion (Eerulli),29,1 x Onion (1kg),1 kg,"Rich in Flavonoids, Supports Immunity and Heart Health","Store in A Cool, Dry Place","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_600/765ff374dd4023fde2d3936ec482814d"
N/A,N/A,,,,,N/A
Green Capsicum (Donne Menasinakaayi),21,2 x Green Capsicum,2 Medium,Boosts Immunity,"Wrap in Plastic, Store in Crisper","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_600/b817b4278093e6a7ca0b95496806d6bd"
Carrot,34,1 x Carrot,500 g,Rich in Vitamins and Fiber,"Keep in A Cool, Dry Place","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_600/d00087f08bdd05844c83e1beb6c6b87e",Plastic Bag,Local Farms
Cauliflower (Hoo Kosu),24,1 x Cauliflower (1Piece),1 Medium,Rich in Vitamins and Fibers,Refrigerate To Maintain Freshness,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_600/d09c188edec2c8652bc56594b7ae57af",Loose With Leaves,
Drumstick (Nuggekaayi),11,2 x Drumsticks,2 Pieces,Rich in Vitamins and Minerals,"Store in A Cool, Dry Place","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_600/261cb787e0bf6458338dd6cc6da98326",,
Bharta Purple Brinjal (Badanekaayi),13,1 x Purple Bharta Brinjal (1Piece),400 g,"Rich in Nutrients, Promotes Heart Health","Store in A Cool Spot, Away From Sunlight.","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_600/NI_CATALOG/IMAGES/CIW/2024/5/31/7cc6c585-7f9f-4a57-ac38-0d5d61e672d4_freshvegetables_AHH0F7IKBG_MN.png",Loose,
Beetroot,19,1 x Beetroot (500g),500 g,"Boosts Immunity, Supports Heart Health","Store in A Cool, Dry Place","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_600/2c16f47d900ff298b17c4e95fe1d755c",Plastic Pack,
Coconut (Thenginakaayi),53,1 x Coconut (1Piece),1 Medium,Rich in Fiber and Healthy Fats,"Keep in A Cool, Dry Place","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_600/NI_CATALOG/IMAGES/CIW/2025/8/1/59181924-597d-43b1-9a84-4c6034e96da9_4GB8YONBD7.jpg",,
"Onion, Potato & Hybrid Tomato",81,"1 x Onion, 1 x Potato, 1 x Tomato",1 Combo,,,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_600/d77abbcb56c4e631a90aca5b06734a67",,
"Onion, Potato & Desi Tomato",96,"1 x Tomato, 1 x Onion, 1 x Potato",1 Combo,"Boosts immunity, Supports heart health","Keep in a cool, dry place","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_600/e3e554e14180b27ad2607002a26889c5",Plastic Bag,Local Farms
